ID,Name,Description,Type
TA0043,Reconnaissance,the adversary is trying to gather information they can use to plan future operations.,Tactic
TA0042,Resource Development,the adversary is trying to establish resources they can use to support operations.,Tactic
TA0001,Initial Access,the adversary is trying to get into your network.,Tactic
TA0002,Execution,the adversary is trying to run malicious code.,Tactic
TA0003,Persistence,the adversary is trying to maintain their foothold.,Tactic
TA0004,Privilege Escalation,the adversary is trying to gain higher-level permissions.,Tactic
TA0005,Defense Evasion,the adversary is trying to avoid being detected.,Tactic
TA0006,Credential Access,the adversary is trying to steal account names and passwords.,Tactic
TA0007,Discovery,the adversary is trying to figure out your environment.,Tactic
TA0008,Lateral Movement,the adversary is trying to move through your environment.,Tactic
TA0009,Collection,the adversary is trying to gather data of interest to their goal.,Tactic
TA0011,Command and Control,the adversary is trying to communicate with compromised systems to control them.,Tactic
TA0010,Exfiltration,the adversary is trying to steal data.,Tactic
TA0040,Impact,the adversary is trying to manipulate or interrupt or destroy your systems and data.,Tactic
T1548,Abuse Elevation Control Mechanism,adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions. most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine. authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk. an adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.,Technique
T1548.001,Setuid and Setgid,"an adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context. on linux or macos, when the setuid or setgid bits are set for an application binary, the application will run with the privileges of the owning user or group respectively. normally an application is run in the current user’s context, regardless of which user or group owns the application. however, there are instances where programs need to be executed in an elevated context to function properly, but the user running them may not have the specific required privileges.",Technique
T1548.002,Bypass User Account Control,"adversaries may bypass uac mechanisms to elevate process privileges on system. windows user account control (uac) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. the impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.",Technique
T1548.003,Sudo and Sudo Caching,adversaries may perform sudo caching and/or use the sudoers file to elevate privileges. adversaries may do this to execute commands as other users or spawn processes with higher privileges.,Technique
T1548.004,Elevated Execution with Prompt,"adversaries may leverage the authorizationexecutewithprivileges api to escalate privileges by prompting the user for credentials. the purpose of this api is to give application developers an easy way to perform operations with root privileges, such as for application installation or updating. this api does not validate that the program requesting root privileges comes from a reputable source or has been maliciously modified.",Technique
T1548.005,Temporary Elevated Cloud Access,"adversaries may abuse permission configurations that allow them to gain temporarily elevated access to cloud resources. many cloud environments allow administrators to grant user or service accounts permission to request just-in-time access to roles, impersonate other accounts, pass roles onto resources and services, or otherwise gain short-term access to a set of privileges that may be distinct from their own.",Technique
T1548.006,TCC Manipulation,"adversaries can manipulate or abuse the transparency, consent, & control (tcc) service or database to grant malicious executables elevated permissions. tcc is a privacy & security macos control mechanism used to determine if the running process has permission to access the data or services protected by tcc, such as screen sharing, camera, microphone, or full disk access (fda).",Technique
T1134,Access Token Manipulation,"adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls. windows uses access tokens to determine the ownership of a running process. a user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process. when this occurs, the process also takes on the security context associated with the new token.",Technique
T1134.001,Token Impersonation/Theft,"adversaries may duplicate then impersonate another user's existing token to escalate privileges and bypass access controls. for example, an adversary can duplicate an existing token using duplicatetoken or duplicatetokenex. the token can then be used with impersonateloggedonuser  to allow the calling thread to impersonate a logged on user's security context, or with setthreadtoken to assign the impersonated token to a thread.",Technique
T1134.002,Create Process with Token,adversaries may create a new process with an existing token to escalate privileges and bypass access controls. processes can be created with the token and resulting security context of another user using features such as createprocesswithtokenw and runas.,Technique
T1134.003,Make and Impersonate Token,"adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls. for example, if an adversary has a username and password but the user is not logged onto the system the adversary can then create a logon session for the user using the logonuser  function. the function will return a copy of the new session's access token and the adversary can use setthreadtoken to assign the token to a thread.",Technique
T1134.004,Parent PID Spoofing,"adversaries may spoof the parent process identifier (ppid) of a new process to evade process-monitoring defenses or to elevate privileges. new processes are typically spawned directly from their parent, or calling, process unless explicitly specified. one way of explicitly assigning the ppid of a new process is via the createprocess api call, which supports a parameter that defines the ppid to use. this functionality is used by windows features such as user account control (uac) to correctly set the ppid after a requested elevated process is spawned by system (typically via svchost.exe or consent.exe) rather than the current user context.",Technique
T1134.005,SID-History Injection,"adversaries may use sid-history injection to escalate privileges and bypass access controls. the windows security identifier (sid) is a unique value that identifies a user or group account. sids are used by windows security in both security descriptors and access tokens. an account can hold additional sids in the sid-history active directory attribute, allowing inter-operable account migration between domains (e.g., all values in sid-history are included in access tokens).",Technique
T1531,Account Access Removal,"adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. accounts may be deleted, locked, or manipulated (ex: changed credentials) to remove access to accounts. adversaries may also subsequently log off and/or perform a system shutdown/reboot to set malicious changes into place.",Technique
T1087,Account Discovery,"adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment. this information can help adversaries determine which accounts exist, which can aid in follow-on behavior such as brute-forcing, spear-phishing attacks, or account takeovers (e.g., valid accounts).",Technique
T1087.001,Local Account,adversaries may attempt to get a listing of local system accounts. this information can help adversaries determine which local accounts exist on a system to aid in follow-on behavior.,Technique
T1087.002,Domain Account,adversaries may attempt to get a listing of domain accounts. this information can help adversaries determine which domain accounts exist to aid in follow-on behavior such as targeting specific accounts which possess particular privileges.,Technique
T1087.003,Email Account,adversaries may attempt to get a listing of email addresses and accounts. adversaries may try to dump exchange address lists such as global address lists (gals).,Technique
T1087.004,Cloud Account,"adversaries may attempt to get a listing of cloud accounts. cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or saas application.",Technique
T1098,Account Manipulation,"adversaries may manipulate accounts to maintain and/or elevate access to victim systems. account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups. these actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials.",Technique
T1098.001,Additional Cloud Credentials,adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.,Technique
T1098.002,Additional Email Delegate Permissions,adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account.,Technique
T1098.003,Additional Cloud Roles,"an adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant. for example, adversaries may update iam policies in cloud-based environments or add a new global administrator in office 365 environments. with sufficient permissions, a compromised account can gain almost unlimited access to data and settings (including the ability to reset the passwords of other admins).",Technique
T1098.004,SSH Authorized Keys,adversaries may modify the ssh authorized_keys file to maintain persistence on a victim host. linux distributions and macos commonly use key-based authentication to secure the authentication process of ssh sessions for remote management. the authorized_keys file in ssh specifies the ssh keys that can be used for logging into the user account for which the file is configured. this file is usually found in the user's home directory under <user-home>/.ssh/authorized_keys. users may edit the system’s ssh config file to modify the directives pubkeyauthentication and rsaauthentication to the value 'yes' to ensure public key and rsa authentication are enabled. the ssh config file is usually located under /etc/ssh/sshd_config.,Technique
T1098.005,Device Registration,"adversaries may register a device to an adversary-controlled account. devices may be registered in a multifactor authentication (mfa) system, which handles authentication to the network, or in a device management system, which handles device access and compliance.",Technique
T1098.006,Additional Container Cluster Roles,"an adversary may add additional roles or permissions to an adversary-controlled user or service account to maintain persistent access to a container orchestration system. for example, an adversary with sufficient permissions may create a rolebinding or a clusterrolebinding to bind a role or clusterrole to a kubernetes account. where attribute-based access control (abac) is in use, an adversary with sufficient permissions may modify a kubernetes abac policy to give the target account additional permissions.",Technique
T1650,Acquire Access,"adversaries may purchase or otherwise acquire an existing access to a target system or network. a variety of online services and initial access broker networks are available to sell access to previously compromised systems. in some cases, adversary groups may form partnerships to share compromised systems with each other.",Technique
T1583,Acquire Infrastructure,"adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. a wide variety of infrastructure exists for hosting and orchestrating adversary operations. infrastructure solutions include physical or cloud servers, domains, and third-party web services. some infrastructure providers offer free trial periods, enabling infrastructure acquisition at limited to no cost. additionally, botnets are available for rent or purchase.",Technique
T1583.001,Domains,"adversaries may acquire domains that can be used during targeting. domain names are the human readable names used to represent one or more ip addresses. they can be purchased or, in some cases, acquired for free.",Technique
T1583.002,DNS Server,"adversaries may set up their own domain name system (dns) servers that can be used during targeting. during post-compromise activity, adversaries may utilize dns traffic for various tasks, including for command and control (ex: application layer protocol). instead of hijacking existing dns servers, adversaries may opt to configure and run their own dns servers in support of operations.",Technique
T1583.003,Virtual Private Server,"adversaries may rent virtual private servers (vpss) that can be used during targeting. there exist a variety of cloud service providers that will sell virtual machines/containers as a service. by utilizing a vps, adversaries can make it difficult to physically tie back operations to them. the use of cloud infrastructure can also make it easier for adversaries to rapidly provision, modify, and shut down their infrastructure.",Technique
T1583.004,Server,"adversaries may buy, lease, rent, or obtain physical servers that can be used during targeting. use of servers allows an adversary to stage, launch, and execute an operation. during post-compromise activity, adversaries may utilize servers for various tasks, such as watering hole operations in drive-by compromise, enabling phishing operations, or facilitating command and control. instead of compromising a third-party server or renting a virtual private server, adversaries may opt to configure and run their own servers in support of operations. free trial periods of cloud servers may also be abused.",Technique
T1583.005,Botnet,"adversaries may buy, lease, or rent a network of compromised systems that can be used during targeting. a botnet is a network of compromised systems that can be instructed to perform coordinated tasks. adversaries may purchase a subscription to use an existing botnet from a booter/stresser service. with a botnet at their disposal, adversaries may perform follow-on activity such as large-scale phishing or distributed denial of service (ddos).",Technique
T1583.006,Web Services,"adversaries may register for web services that can be used during targeting. a variety of popular websites exist for adversaries to register for a web-based service that can be abused during later stages of the adversary lifecycle, such as during command and control (web service), exfiltration over web service, or phishing. using common services, such as those offered by google or twitter, makes it easier for adversaries to hide in expected noise. by utilizing a web service, adversaries can make it difficult to physically tie back operations to them.",Technique
T1583.007,Serverless,"adversaries may purchase and configure serverless cloud infrastructure, such as cloudflare workers, aws lambda functions, or google apps scripts, that can be used during targeting. by utilizing serverless infrastructure, adversaries can make it more difficult to attribute infrastructure used during operations back to them.",Technique
T1583.008,Malvertising,"adversaries may purchase online advertisements that can be abused to distribute malware to victims. ads can be purchased to plant as well as favorably position artifacts in specific locations online, such as prominently placed within search engine results. these ads may make it more difficult for users to distinguish between actual search results and advertisements. purchased ads may also target specific audiences using the advertising network’s capabilities, potentially further taking advantage of the trust inherently given to search engines and popular websites.",Technique
T1595,Active Scanning,"adversaries may execute active reconnaissance scans to gather information that can be used during targeting. active scans are those where the adversary probes victim infrastructure via network traffic, as opposed to other forms of reconnaissance that do not involve direct interaction.",Technique
T1595.001,Scanning IP Blocks,"adversaries may scan victim ip blocks to gather information that can be used during targeting. public ip addresses may be allocated to organizations by block, or a range of sequential addresses.",Technique
T1595.002,Vulnerability Scanning,adversaries may scan victims for vulnerabilities that can be used during targeting. vulnerability scans typically check if the configuration of a target host/application (ex: software and version) potentially aligns with the target of a specific exploit the adversary may seek to use.,Technique
T1595.003,Wordlist Scanning,"adversaries may iteratively probe infrastructure using brute-forcing and crawling techniques. while this technique employs similar methods to brute force, its goal is the identification of content and infrastructure rather than the discovery of valid credentials. wordlists used in these scans may contain generic, commonly used names and file extensions or terms specific to a particular software. adversaries may also create custom, target-specific wordlists using data gathered from other reconnaissance techniques (ex: gather victim org information, or search victim-owned websites).",Technique
T1557,Adversary-in-the-Middle,"adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (aitm) technique to support follow-on behaviors such as network sniffing, transmitted data manipulation, or replay attacks (exploitation for credential access). by abusing features of common networking protocols that can determine the flow of network traffic (e.g. arp, dns, llmnr, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Technique
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,"by responding to llmnr/nbt-ns network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. this activity may be used to collect or relay authentication materials.",Technique
T1557.002,ARP Cache Poisoning,adversaries may poison address resolution protocol (arp) caches to position themselves between the communication of two or more networked devices. this activity may be used to enable follow-on behaviors such as network sniffing or transmitted data manipulation.,Technique
T1557.003,DHCP Spoofing,"adversaries may redirect network traffic to adversary-owned systems by spoofing dynamic host configuration protocol (dhcp) traffic and acting as a malicious dhcp server on the victim network. by achieving the adversary-in-the-middle (aitm) position, adversaries may collect network communications, including passed credentials, especially those sent over insecure, unencrypted protocols. this may also enable follow-on behaviors such as network sniffing or transmitted data manipulation.",Technique
T1557.004,Evil Twin,"adversaries may host seemingly genuine wi-fi access points to deceive users into connecting to malicious networks as a way of supporting follow-on behaviors such as network sniffing, transmitted data manipulation, or input capture.",Technique
T1071,Application Layer Protocol,"adversaries may communicate using osi application layer protocols to avoid detection/network filtering by blending in with existing traffic. commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Technique
T1071.001,Web Protocols,"adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Technique
T1071.002,File Transfer Protocols,"adversaries may communicate using application layer protocols associated with transferring files to avoid detection/network filtering by blending in with existing traffic. commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Technique
T1071.003,Mail Protocols,"adversaries may communicate using application layer protocols associated with electronic mail delivery to avoid detection/network filtering by blending in with existing traffic. commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Technique
T1071.004,DNS,"adversaries may communicate using the domain name system (dns) application layer protocol to avoid detection/network filtering by blending in with existing traffic. commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Technique
T1071.005,Publish/Subscribe Protocols,"adversaries may communicate using publish/subscribe (pub/sub) application layer protocols to avoid detection/network filtering by blending in with existing traffic. commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server.",Technique
T1010,Application Window Discovery,"adversaries may attempt to get a listing of open application windows. window listings could convey information about how the system is used. for example, information about application windows could be used identify potential data to collect as well as identifying security tooling (security software discovery) to evade.",Technique
T1560,Archive Collected Data,an adversary may compress and/or encrypt data that is collected prior to exfiltration. compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.,Technique
T1560.001,Archive via Utility,"adversaries may use utilities to compress and/or encrypt collected data prior to exfiltration. many utilities include functionalities to compress, encrypt, or otherwise package data into a format that is easier/more secure to transport.",Technique
T1560.002,Archive via Library,"an adversary may compress or encrypt data that is collected prior to exfiltration using 3rd party libraries. many libraries exist that can archive data, including python rarfile, libzip, and zlib. most libraries include functionality to encrypt and/or compress data.",Technique
T1560.003,Archive via Custom Method,"an adversary may compress or encrypt data that is collected prior to exfiltration using a custom method. adversaries may choose to use custom archival methods, such as encryption with xor or stream ciphers implemented with no external library or utility references. custom implementations of well-known compression algorithms have also been used.",Technique
T1123,Audio Capture,"an adversary can leverage a computer's peripheral devices (e.g., microphones and webcams) or applications (e.g., voice and video call services) to capture audio recordings for the purpose of listening into sensitive conversations to gather information.",Technique
T1119,Automated Collection,"once established within a system or network, an adversary may use automated techniques for collecting internal data. methods for performing this technique could include use of a command and scripting interpreter to search for and copy information fitting set criteria such as file type, location, or name at specific time intervals.",Technique
T1020,Automated Exfiltration,"adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during collection.",Technique
T1020.001,Traffic Duplication,"adversaries may leverage traffic mirroring in order to automate data exfiltration over compromised infrastructure. traffic mirroring is a native feature for some devices, often used for network analysis. for example, devices may be configured to forward network traffic to one or more destinations for analysis by a network analyzer or other monitoring device.",Technique
T1197,BITS Jobs,"adversaries may abuse bits jobs to persistently execute code and perform various background tasks. windows background intelligent transfer service (bits) is a low-bandwidth, asynchronous file transfer mechanism exposed through component object model (com). bits is commonly used by updaters, messengers, and other applications preferred to operate in the background (using available idle bandwidth) without interrupting other networked applications. file transfer tasks are implemented as bits jobs, which contain a queue of one or more file operations.",Technique
T1547,Boot or Logon Autostart Execution,"adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems. operating systems may have mechanisms for automatically running a program on system boot or account logon. these mechanisms may include automatically executing programs that are placed in specially designated directories or are referenced by repositories that store configuration information, such as the windows registry. an adversary may achieve the same goal by modifying or extending features of the kernel.",Technique
T1547.001,Registry Run Keys / Startup Folder,adversaries may achieve persistence by adding a program to a startup folder or referencing it with a registry run key. adding an entry to the 'run keys' in the registry or startup folder will cause the program referenced to be executed when a user logs in. these programs will be executed under the context of the user and will have the account's associated permissions level.,Technique
T1547.002,Authentication Package,adversaries may abuse authentication packages to execute dlls when the system boots. windows authentication package dlls are loaded by the local security authority (lsa) process at system start. they provide support for multiple logon processes and multiple security protocols to the operating system.,Technique
T1547.003,Time Providers,adversaries may abuse time providers to execute dlls when the system boots. the windows time service (w32time) enables time synchronization across and within domains. w32time time providers are responsible for retrieving time stamps from hardware/network resources and outputting these values to other network clients.,Technique
T1547.004,Winlogon Helper DLL,adversaries may abuse features of winlogon to execute dlls and/or executables when a user logs in. winlogon.exe is a windows component responsible for actions at logon/logoff as well as the secure attention sequence (sas) triggered by ctrl-alt-delete. registry entries in hklm\software[\wow6432node\]\microsoft\windows nt\currentversion\winlogon\ and hkcu\software\microsoft\windows nt\currentversion\winlogon\ are used to manage additional helper programs and functionalities that support winlogon.,Technique
T1547.005,Security Support Provider,"adversaries may abuse security support providers (ssps) to execute dlls when the system boots. windows ssp dlls are loaded into the local security authority (lsa) process at system start. once loaded into the lsa, ssp dlls have access to encrypted and plaintext passwords that are stored in windows, such as any logged-on user's domain password or smart card pins.",Technique
T1547.006,Kernel Modules and Extensions,"adversaries may modify the kernel to automatically execute programs on system boot. loadable kernel modules (lkms) are pieces of code that can be loaded and unloaded into the kernel upon demand. they extend the functionality of the kernel without the need to reboot the system. for example, one type of module is the device driver, which allows the kernel to access hardware connected to the system.",Technique
T1547.007,Re-opened Applications,"adversaries may modify plist files to automatically run an application when a user logs in. when a user logs out or restarts via the macos graphical user interface (gui), a prompt is provided to the user with a checkbox to 'reopen windows when logging back in'. when selected, all applications currently open are added to a property list file named com.apple.loginwindow.[uuid].plist within the ~/library/preferences/byhost directory. applications listed in this file are automatically reopened upon the user’s next logon.",Technique
T1547.008,LSASS Driver,"adversaries may modify or add lsass drivers to obtain persistence on compromised systems. the windows security subsystem is a set of components that manage and enforce the security policy for a computer or domain. the local security authority (lsa) is the main component responsible for local security policy and user authentication. the lsa includes multiple dynamic link libraries (dlls) associated with various other security functions, all of which run in the context of the lsa subsystem service (lsass) lsass.exe process.",Technique
T1547.009,Shortcut Modification,adversaries may create or modify shortcuts that can execute a program during system boot or user login. shortcuts or symbolic links are used to reference other files or programs that will be opened or executed when the shortcut is clicked or executed by a system startup process.,Technique
T1547.010,Port Monitors,"adversaries may use port monitors to run an adversary supplied dll during system boot for persistence or privilege escalation. a port monitor can be set through the addmonitor api call to set a dll to be loaded at startup. this dll can be located in c:\windows\system32 and will be loaded and run by the print spooler service, spoolsv.exe, under system level permissions on boot.",Technique
T1547.012,Print Processors,"adversaries may abuse print processors to run malicious dlls during system boot for persistence and/or privilege escalation. print processors are dlls that are loaded by the print spooler service, spoolsv.exe, during boot.",Technique
T1547.013,XDG Autostart Entries,"adversaries may add or modify xdg autostart entries to execute malicious programs or commands when a user’s desktop environment is loaded at login. xdg autostart entries are available for any xdg-compliant linux system. xdg autostart entries use desktop entry files (.desktop) to configure the user’s desktop environment upon user login. these configuration files determine what applications launch upon user login, define associated applications to open specific file types, and define applications used to open removable media.",Technique
T1547.014,Active Setup,adversaries may achieve persistence by adding a registry key to the active setup of the local machine. active setup is a windows mechanism that is used to execute programs when a user logs in. the value stored in the registry key will be executed after a user logs into the computer. these programs will be executed under the context of the user and will have the account's associated permissions level.,Technique
T1547.015,Login Items,"adversaries may add login items to execute upon user login to gain persistence or escalate privileges. login items are applications, documents, folders, or server connections that are automatically launched when a user logs in. login items can be added via a shared file list or service management framework. shared file list login items can be set using scripting languages such as applescript, whereas the service management framework uses the api call smloginitemsetenabled.",Technique
T1037,Boot or Logon Initialization Scripts,"adversaries may use scripts automatically executed at boot or logon initialization to establish persistence. initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server. these scripts can vary based on operating system and whether applied locally or remotely.",Technique
T1037.001,Logon Script (Windows),adversaries may use windows logon scripts automatically executed at logon initialization to establish persistence. windows allows logon scripts to be run whenever a specific user or group of users log into a system. this is done via adding a path to a script to the hkcu\environment\userinitmprlogonscript registry key.,Technique
T1037.002,Login Hook,adversaries may use a login hook to establish persistence executed upon user logon. a login hook is a plist file that points to a specific script to execute with root privileges upon user logon. the plist file is located in the /library/preferences/com.apple.loginwindow.plist file and can be modified using the defaults command-line utility. this behavior is the same for logout hooks where a script can be executed upon user logout. all hooks require administrator permissions to modify or create hooks.,Technique
T1037.003,Network Logon Script,"adversaries may use network logon scripts automatically executed at logon initialization to establish persistence. network logon scripts can be assigned using active directory or group policy objects. these logon scripts run with the privileges of the user they are assigned to. depending on the systems within the network, initializing one of these scripts could apply to more than one or potentially all systems.",Technique
T1037.004,RC Scripts,adversaries may establish persistence by modifying rc scripts which are executed during a unix-like system’s startup. these files allow system administrators to map and start custom services at startup for different run levels. rc scripts require root privileges to modify.,Technique
T1037.005,Startup Items,adversaries may use startup items automatically executed at boot initialization to establish persistence. startup items execute during the final phase of the boot process and contain shell scripts or other executable files along with configuration information used by the system to determine the execution order for all startup items.,Technique
T1176,Browser Extensions,adversaries may abuse internet browser extensions to establish persistent access to victim systems. browser extensions or plugins are small programs that can add functionality and customize aspects of internet browsers. they can be installed directly or through a browser's app store and generally have access and permissions to everything that the browser can access.,Technique
